"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"21/Oct/22 11:26" " 0:01:14" " 0:00:42" " 0:00:50" 0
"21/Oct/22 12:00" " 0:00:52" " 0:00:41" " 0:00:46" 0
"21/Oct/22 12:33" " 0:00:46" " 0:00:34" " 0:00:39" 0
"21/Oct/22 13:06" " 0:00:38" " 0:00:33" " 0:00:36" 0
"21/Oct/22 13:40" " 0:00:51" " 0:00:35" " 0:00:43" 0
"21/Oct/22 14:13" " 0:00:50" " 0:00:39" " 0:00:44" 0
"21/Oct/22 14:47" " 0:00:40" " 0:00:35" " 0:00:37" 0
"21/Oct/22 15:20" " 0:00:39" " 0:00:37" " 0:00:38" 0
"21/Oct/22 15:53" " 0:00:41" " 0:00:35" " 0:00:38" 0
"21/Oct/22 16:26" " 0:00:40" " 0:00:36" " 0:00:38" 0
"21/Oct/22 17:00" " 0:00:38" " 0:00:35" " 0:00:36" 0
"21/Oct/22 17:33" " 0:00:36" " 0:00:34" " 0:00:35" 0
"21/Oct/22 18:06" " 0:00:38" " 0:00:33" " 0:00:36" 0
"21/Oct/22 18:38" " 0:00:36" " 0:00:32" " 0:00:34" 0
"21/Oct/22 19:11" " 0:00:37" " 0:00:34" " 0:00:35" 0
"21/Oct/22 19:44" " 0:00:36" " 0:00:33" " 0:00:35" 0
"21/Oct/22 20:17" " 0:00:36" " 0:00:33" " 0:00:34" 0
"21/Oct/22 20:50" " 0:00:38" " 0:00:33" " 0:00:34" 0
"21/Oct/22 21:23" " 0:00:36" " 0:00:32" " 0:00:35" 0
"21/Oct/22 21:56" " 0:00:35" " 0:00:34" " 0:00:34" 0
"21/Oct/22 22:29" " 0:00:39" " 0:00:35" " 0:00:36" 0
"21/Oct/22 23:02" " 0:00:36" " 0:00:35" " 0:00:36" 0
"21/Oct/22 23:35" " 0:00:38" " 0:00:34" " 0:00:36" 0
"22/Oct/22 00:08" " 0:00:40" " 0:00:37" " 0:00:39" 0
"22/Oct/22 00:42" " 0:00:40" " 0:00:38" " 0:00:39" 0
"22/Oct/22 01:15" " 0:00:40" " 0:00:39" " 0:00:40" 0
"22/Oct/22 01:48" " 0:00:40" " 0:00:38" " 0:00:39" 0
"22/Oct/22 02:22" " 0:00:40" " 0:00:36" " 0:00:38" 0
"22/Oct/22 02:55" " 0:00:39" " 0:00:37" " 0:00:38" 0
"22/Oct/22 03:28" " 0:00:40" " 0:00:38" " 0:00:39" 0
"22/Oct/22 04:01" " 0:00:39" " 0:00:38" " 0:00:39" 0
"22/Oct/22 04:35" " 0:00:44" " 0:00:38" " 0:00:40" 0
"22/Oct/22 05:08" " 0:00:43" " 0:00:38" " 0:00:39" 0
"22/Oct/22 05:41" " 0:00:41" " 0:00:37" " 0:00:39" 0
"22/Oct/22 06:15" " 0:00:43" " 0:00:37" " 0:00:39" 0
"22/Oct/22 06:48" " 0:00:38" " 0:00:36" " 0:00:37" 0
"22/Oct/22 07:21" " 0:00:36" " 0:00:35" " 0:00:36" 0
