"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"21/Oct/22 06:23" " 0:00:07" " 0:00:04" " 0:00:06" 0
"21/Oct/22 06:53" " 0:00:09" " 0:00:03" " 0:00:06" 0
"21/Oct/22 07:24" " 0:00:06" " 0:00:03" " 0:00:05" 0
"21/Oct/22 07:54" " 0:00:06" " 0:00:03" " 0:00:05" 0
"21/Oct/22 08:25" " 0:00:07" " 0:00:03" " 0:00:05" 0
"21/Oct/22 08:55" " 0:00:06" " 0:00:03" " 0:00:05" 0
"21/Oct/22 09:26" " 0:00:06" " 0:00:03" " 0:00:05" 0
"21/Oct/22 09:56" " 0:00:07" " 0:00:03" " 0:00:05" 0
"21/Oct/22 10:27" " 0:00:06" " 0:00:04" " 0:00:05" 0
"21/Oct/22 10:57" " 0:00:07" " 0:00:05" " 0:00:06" 0
"21/Oct/22 11:28" " 0:00:06" " 0:00:05" " 0:00:06" 0
"21/Oct/22 11:58" " 0:00:06" " 0:00:05" " 0:00:06" 0
"21/Oct/22 12:29" " 0:00:06" " 0:00:04" " 0:00:05" 0
"21/Oct/22 12:59" " 0:00:06" " 0:00:03" " 0:00:05" 0
"21/Oct/22 13:29" " 0:00:05" " 0:00:04" " 0:00:05" 0
"21/Oct/22 14:00" " 0:00:05" " 0:00:04" " 0:00:04" 0
"21/Oct/22 14:30" " 0:00:06" " 0:00:03" " 0:00:05" 0
"21/Oct/22 15:01" " 0:00:06" " 0:00:05" " 0:00:05" 0
"21/Oct/22 15:31" " 0:00:10" " 0:00:05" " 0:00:07" 0
"21/Oct/22 16:02" " 0:00:06" " 0:00:06" " 0:00:06" 0
"21/Oct/22 16:32" " 0:00:08" " 0:00:04" " 0:00:06" 0
"21/Oct/22 17:04" " 0:00:35" " 0:00:05" " 0:00:15" 0
"21/Oct/22 17:34" " 0:00:06" " 0:00:04" " 0:00:05" 0
"21/Oct/22 18:05" " 0:00:06" " 0:00:03" " 0:00:04" 0
"21/Oct/22 18:35" " 0:00:04" " 0:00:03" " 0:00:03" 0
"21/Oct/22 19:05" " 0:00:04" " 0:00:03" " 0:00:03" 0
"21/Oct/22 19:36" " 0:00:07" " 0:00:05" " 0:00:07" 0
"21/Oct/22 20:07" " 0:00:08" " 0:00:05" " 0:00:06" 0
"21/Oct/22 20:37" " 0:00:09" " 0:00:06" " 0:00:07" 0
"21/Oct/22 21:08" " 0:00:11" " 0:00:06" " 0:00:09" 0
"21/Oct/22 21:38" " 0:00:07" " 0:00:05" " 0:00:06" 0
"21/Oct/22 22:09" " 0:00:06" " 0:00:05" " 0:00:05" 0
"21/Oct/22 22:39" " 0:00:06" " 0:00:04" " 0:00:05" 0
"21/Oct/22 23:10" " 0:00:10" " 0:00:04" " 0:00:06" 0
"21/Oct/22 23:40" " 0:00:05" " 0:00:05" " 0:00:05" 0
"22/Oct/22 00:11" " 0:00:06" " 0:00:04" " 0:00:05" 0
"22/Oct/22 00:41" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 01:12" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 01:42" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 02:12" " 0:00:05" " 0:00:03" " 0:00:04" 0
"22/Oct/22 02:43" " 0:00:04" " 0:00:03" " 0:00:03" 0
